Entity,Code,Year,Petroleum,Wheat,Corn
World,OWID_WRL,1860,500,132.4284,107.565254
World,OWID_WRL,1861,468.63467,96.72469,63.319893
World,OWID_WRL,1862,306.50912,90.172516,62.008034
World,OWID_WRL,1863,354.50693,94.19757,103.143265
World,OWID_WRL,1864,412.82828,115.83128,151.80144
World,OWID_WRL,1865,424.06677,83.14043,86.0934
World,OWID_WRL,1866,331.15894,97.95697,75.55746
World,OWID_WRL,1867,261.72534,159.736,128.80025
World,OWID_WRL,1868,217.63417,143.58005,129.43486
World,OWID_WRL,1869,221.7156,97.068474,109.90454
World,OWID_WRL,1870,186.15176,88.10218,121.37397
World,OWID_WRL,1871,174.47511,118.157234,88.39329
World,OWID_WRL,1872,166.35545,121.523796,69.22918
World,OWID_WRL,1873,130.5625,116.056854,67.136986
World,OWID_WRL,1874,96.71505,113.20205,127.55173
World,OWID_WRL,1875,100.68445,110.38202,126.504814
World,OWID_WRL,1876,154.13362,113.826096,91.229645
World,OWID_WRL,1877,132.11429,144.30826,94.541405
World,OWID_WRL,1878,93.14026,115.091156,82.20873
World,OWID_WRL,1879,70.643814,118.15941,78.66649
World,OWID_WRL,1880,77.61286,122.72664,80.66507
World,OWID_WRL,1881,72.48765,133.52823,107.49737
World,OWID_WRL,1882,65.332596,136.1559,144.41101
World,OWID_WRL,1883,66.22211,120.22426,116.91291
World,OWID_WRL,1884,70.75159,100.19548,115.92454
World,OWID_WRL,1885,69.6562,103.25233,97.41371
World,OWID_WRL,1886,63.68394,96.36374,86.20809
World,OWID_WRL,1887,59.9356,94.15519,91.2169
World,OWID_WRL,1888,67.47748,113.45595,107.47157
World,OWID_WRL,1889,66.70715,110.05773,81.110794
World,OWID_WRL,1890,59.17308,116.43074,94.165726
World,OWID_WRL,1891,45.706745,126.05349,141.45663
World,OWID_WRL,1892,37.96849,103.23013,111.08922
World,OWID_WRL,1893,44.17944,89.34533,96.72985
World,OWID_WRL,1894,60.54969,78.660065,109.93183
World,OWID_WRL,1895,100.43742,85.97901,102.23471
World,OWID_WRL,1896,87.18246,94.35019,67.653336
World,OWID_WRL,1897,58.926723,122.816185,67.586266
World,OWID_WRL,1898,68.27403,128.38022,83.61785
World,OWID_WRL,1899,96.84558,102.27773,88.89924
World,OWID_WRL,1900,100,100,100
World,OWID_WRL,1901,88.36517,100.45078,129.31613
World,OWID_WRL,1902,89.275986,102.86705,152.91435
World,OWID_WRL,1903,112.116234,106.480354,114.99486
World,OWID_WRL,1904,113.49536,137.83766,124.53636
World,OWID_WRL,1905,97.68715,135.88097,125.3624
World,OWID_WRL,1906,110.28653,104.516106,112.92231
World,OWID_WRL,1907,114.59629,115.25376,123.141685
World,OWID_WRL,1908,120.130486,126.028595,163.00868
World,OWID_WRL,1909,113.52952,157.44199,160.76218
World,OWID_WRL,1910,87.86008,137.2818,134.99306
World,OWID_WRL,1911,84.97317,123.02838,136.44069
World,OWID_WRL,1912,101.53125,128.11981,156.71242
World,OWID_WRL,1913,145.4278,113.9471,138.30357
World,OWID_WRL,1914,114.65555,120.727394,153.3745
World,OWID_WRL,1915,94.21831,154.8833,159.20753
World,OWID_WRL,1916,174.2224,149.12985,165.87979
World,OWID_WRL,1917,209.0206,212.63657,274.22333
World,OWID_WRL,1918,215.30489,169.88942,226.32867
World,OWID_WRL,1919,196.26817,167.8215,197.93271
World,OWID_WRL,1920,253.38644,146.80513,152.77864
World,OWID_WRL,1921,129.8774,95.404434,69.384026
World,OWID_WRL,1922,146.28989,93.54422,78.53872
World,OWID_WRL,1923,133.32526,78.939926,101.93101
World,OWID_WRL,1924,139.17348,98.459785,119.27646
World,OWID_WRL,1925,158.37462,116.61064,125.18512
World,OWID_WRL,1926,177.6613,105.18629,89.8769
World,OWID_WRL,1927,115.31395,92.542694,105.66701
World,OWID_WRL,1928,113.143814,107.847725,121.266945
World,OWID_WRL,1929,117.143845,89.06243,115.94704
World,OWID_WRL,1930,104.62723,67.9467,104.42504
World,OWID_WRL,1931,60.415855,51.45311,72.26284
World,OWID_WRL,1932,92.79874,47.705547,47.502525
World,OWID_WRL,1933,74.113556,69.634575,65.40788
World,OWID_WRL,1934,109.65632,83.72958,103.13472
World,OWID_WRL,1935,106.940865,86.04993,125.932884
World,OWID_WRL,1936,116.53159,94.99479,128.33472
World,OWID_WRL,1937,124.74399,98.68796,152.61629
World,OWID_WRL,1938,121.92397,65.59292,83.08109
World,OWID_WRL,1939,107.82319,64.2186,76.53711
World,OWID_WRL,1940,106.74726,79.235016,95.61457
World,OWID_WRL,1941,112.47316,80.80108,103.93404
World,OWID_WRL,1942,105.39318,90.31484,110.048416
World,OWID_WRL,1943,99.30109,102.59449,129.35924
World,OWID_WRL,1944,97.60845,109.25293,136.54791
World,OWID_WRL,1945,95.43938,110.50963,138.90625
World,OWID_WRL,1946,104.82476,116.13638,160.60051
World,OWID_WRL,1947,126.19214,138.66286,201.3433
World,OWID_WRL,1948,156.7079,120.07228,180.05673
World,OWID_WRL,1949,158.21913,104.10378,120.02658
World,OWID_WRL,1950,156.7079,106.40059,134.58275
World,OWID_WRL,1951,145.24734,108.52625,148.93248
World,OWID_WRL,1952,142.12904,101.79551,143.02988
World,OWID_WRL,1953,149.07114,88.88845,127.5283
World,OWID_WRL,1954,154.0402,91.950226,126.38452
World,OWID_WRL,1955,154.6154,90.9972,111.439415
World,OWID_WRL,1956,152.33998,95.2165,114.32376
World,OWID_WRL,1957,159.8263,91.11047,96.01617
World,OWID_WRL,1958,155.27472,81.83791,92.08096
World,OWID_WRL,1959,149.67476,77.55978,89.134254
World,OWID_WRL,1960,147.22638,77.22019,82.64721
World,OWID_WRL,1961,145.75018,80.8952,80.470436
World,OWID_WRL,1962,144.11253,79.72136,79.580925
World,OWID_WRL,1963,142.4182,76.04834,87.2582
World,OWID_WRL,1964,139.35345,63.923054,85.89099
World,OWID_WRL,1965,135.85014,58.127857,87.56644
World,OWID_WRL,1966,133.02588,61.741913,89.84948
World,OWID_WRL,1967,133.42169,52.222404,82.052345
World,OWID_WRL,1968,129.5309,44.180367,69.56156
World,OWID_WRL,1969,127.430016,43.55238,71.39935
World,OWID_WRL,1970,121.98014,46.723602,75.9692
World,OWID_WRL,1971,123.59656,45.52947,71.66667
World,OWID_WRL,1972,121.10097,51.04379,66.88306
World,OWID_WRL,1973,148.97693,105.76517,106.168015
World,OWID_WRL,1974,365.38785,109.43924,142.43317
World,OWID_WRL,1975,345.62094,74.799225,112.70329
World,OWID_WRL,1976,343.43668,62.89733,100.03631
World,OWID_WRL,1977,347.85574,49.43689,77.883156
World,OWID_WRL,1978,322.79895,57.22132,76.34018
World,OWID_WRL,1979,433.67435,64.593285,77.95318
World,OWID_WRL,1980,602.3296,61.266678,79.67589
World,OWID_WRL,1981,587.8521,50.982666,72.108635
World,OWID_WRL,1982,505.20612,41.192257,52.573227
World,OWID_WRL,1983,454.35168,41.341106,67.197914
World,OWID_WRL,1984,420.69073,40.473927,62.821377
World,OWID_WRL,1985,383.8928,35.858242,49.39893
World,OWID_WRL,1986,204.76251,32.393593,37.020184
World,OWID_WRL,1987,250.9245,29.593166,30.152754
World,OWID_WRL,1988,200.81363,35.672745,42.57045
World,OWID_WRL,1989,235.12874,39.00023,41.685936
World,OWID_WRL,1990,278.80875,29.619104,39.840664
World,OWID_WRL,1991,234.68655,27.767809,37.488537
World,OWID_WRL,1992,218.06296,31.023596,34.84625
World,OWID_WRL,1993,191.1315,27.97026,33.722992
World,OWID_WRL,1994,172.31262,28.03701,34.08037
World,OWID_WRL,1995,179.33627,32.932148,38.46351
World,OWID_WRL,1996,209.28738,35.82191,50.69708
World,OWID_WRL,1997,188.42436,26.840046,35.232685
World,OWID_WRL,1998,130.97963,20.516506,28.525028
World,OWID_WRL,1999,171.83536,17.330507,24.370176
World,OWID_WRL,2000,262.07968,17.225945,23.137938
World,OWID_WRL,2001,217.7533,18.241154,22.778976
World,OWID_WRL,2002,215.80391,21.663464,24.83347
World,OWID_WRL,2003,251.53966,22.585543,25.771896
World,OWID_WRL,2004,326.42947,22.931112,26.636078
World,OWID_WRL,2005,430.0166,20.84008,22.737236
World,OWID_WRL,2006,487.4131,23.647024,27.201042
World,OWID_WRL,2007,518.711,34.508224,35.5238
World,OWID_WRL,2008,688.0099,37.819523,46.637493
World,OWID_WRL,2009,427.57678,25.992855,34.718575
World,OWID_WRL,2010,541.9357,31.586346,38.369263
World,OWID_WRL,2011,628.7368,38.11759,58.356995
World,OWID_WRL,2012,610.19965,38.58029,58.494823
World,OWID_WRL,2013,625.55835,35.6247,50.110718
World,OWID_WRL,2014,585.2143,31.062902,36.6674
World,OWID_WRL,2015,305.77533,26.112371,32.231857
World,OWID_WRL,2016,267.73514,22.029417,29.844679
World,OWID_WRL,2017,309.00616,21.799767,28.372189
World,OWID_WRL,2018,384.07977,24.350302,29.466997
World,OWID_WRL,2019,331.791,24.783197,29.938133
World,OWID_WRL,2020,225.98163,26.388796,28.772692
World,OWID_WRL,1850,,98.04873,98.80269
World,OWID_WRL,1851,,70.05146,98.94129
World,OWID_WRL,1852,,68.53606,106.76517
World,OWID_WRL,1853,,111.94649,109.23692
World,OWID_WRL,1854,,152.59901,118.17668
World,OWID_WRL,1855,,178.45721,135.84279
World,OWID_WRL,1856,,144.35626,97.08021
World,OWID_WRL,1857,,123.676506,106.94396
World,OWID_WRL,1858,,93.491196,110.74633
World,OWID_WRL,1859,,125.29902,124.31231